title,playlist,n_words,arousal,dominance,valence,negative,positive,surprise,trust,fear,disgust,anger,joy,anticipation,sadness,u_n_words,u_arousal,u_dominance,u_valence,u_negative,u_positive,u_surprise,u_trust,u_fear,u_disgust,u_anger,u_joy,u_anticipation,u_sadness,s_n_words,s_arousal,s_dominance,s_valence,s_negative,s_positive,s_surprise,s_trust,s_fear,s_disgust,s_anger,s_joy,s_anticipation,s_sadness,surprise_ratio,trust_ratio,fear_ratio,disgust_ratio,anger_ratio,joy_ratio,anticipation_ratio,sadness_ratio,sentiment,artist,wheel_playlist
American Idiot,teen_angst,200,0.4999354838709678,0.49687096774193545,0.5738709677419356,10,4,0,7,6,6,3,4,4,1,70,0.4999354838709677,0.49687096774193545,0.5738709677419355,5,2,0,4,3,2,1,2,2,1,44,0.5125,0.49496428571428563,0.563857142857143,5,2,0,4,3,2,1,2,2,1,0.0,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.03225806451612903,-0.12,Green Day,trust
American Idiot,teen_angst,200,0.4999354838709678,0.49687096774193545,0.5738709677419356,10,4,0,7,6,6,3,4,4,1,70,0.4999354838709677,0.49687096774193545,0.5738709677419355,5,2,0,4,3,2,1,2,2,1,44,0.5125,0.49496428571428563,0.563857142857143,5,2,0,4,3,2,1,2,2,1,0.0,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.03225806451612903,-0.12,Green Day,disgust
American Idiot,teen_angst,200,0.4999354838709678,0.49687096774193545,0.5738709677419356,10,4,0,7,6,6,3,4,4,1,70,0.4999354838709677,0.49687096774193545,0.5738709677419355,5,2,0,4,3,2,1,2,2,1,44,0.5125,0.49496428571428563,0.563857142857143,5,2,0,4,3,2,1,2,2,1,0.0,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.03225806451612903,-0.12,Green Day,joy
American Idiot,teen_angst,200,0.4999354838709678,0.49687096774193545,0.5738709677419356,10,4,0,7,6,6,3,4,4,1,70,0.4999354838709677,0.49687096774193545,0.5738709677419355,5,2,0,4,3,2,1,2,2,1,44,0.5125,0.49496428571428563,0.563857142857143,5,2,0,4,3,2,1,2,2,1,0.0,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.03225806451612903,-0.12,Green Day,fear
Animal,teen_angst,159,0.41231818181818175,0.5300454545454545,0.6514090909090908,3,3,0,0,0,1,0,2,0,0,47,0.4123181818181818,0.5300454545454546,0.6514090909090909,2,2,0,0,0,1,0,1,0,0,24,0.4158888888888889,0.5135000000000001,0.6408888888888887,2,2,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,Sir Chloe,joy
Animal,teen_angst,159,0.41231818181818175,0.5300454545454545,0.6514090909090908,3,3,0,0,0,1,0,2,0,0,47,0.4123181818181818,0.5300454545454546,0.6514090909090909,2,2,0,0,0,1,0,1,0,0,24,0.4158888888888889,0.5135000000000001,0.6408888888888887,2,2,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,Sir Chloe,disgust
Beachboy,teen_angst,490,0.4545074626865672,0.5043880597014926,0.5862089552238806,22,23,13,21,18,6,20,19,13,13,147,0.45450746268656733,0.5043880597014925,0.5862089552238805,8,9,5,8,8,2,6,6,7,6,94,0.45820634920634945,0.498031746031746,0.579063492063492,8,9,5,8,8,2,6,6,7,6,0.10569105691056911,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.16260162601626016,0.15447154471544716,0.10569105691056911,0.10569105691056911,0.00816326530612245,McCafferty,surprise
Beachboy,teen_angst,490,0.4545074626865672,0.5043880597014926,0.5862089552238806,22,23,13,21,18,6,20,19,13,13,147,0.45450746268656733,0.5043880597014925,0.5862089552238805,8,9,5,8,8,2,6,6,7,6,94,0.45820634920634945,0.498031746031746,0.579063492063492,8,9,5,8,8,2,6,6,7,6,0.10569105691056911,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.16260162601626016,0.15447154471544716,0.10569105691056911,0.10569105691056911,0.00816326530612245,McCafferty,trust
Beachboy,teen_angst,490,0.4545074626865672,0.5043880597014926,0.5862089552238806,22,23,13,21,18,6,20,19,13,13,147,0.45450746268656733,0.5043880597014925,0.5862089552238805,8,9,5,8,8,2,6,6,7,6,94,0.45820634920634945,0.498031746031746,0.579063492063492,8,9,5,8,8,2,6,6,7,6,0.10569105691056911,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.16260162601626016,0.15447154471544716,0.10569105691056911,0.10569105691056911,0.00816326530612245,McCafferty,anger
Beachboy,teen_angst,490,0.4545074626865672,0.5043880597014926,0.5862089552238806,22,23,13,21,18,6,20,19,13,13,147,0.45450746268656733,0.5043880597014925,0.5862089552238805,8,9,5,8,8,2,6,6,7,6,94,0.45820634920634945,0.498031746031746,0.579063492063492,8,9,5,8,8,2,6,6,7,6,0.10569105691056911,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.16260162601626016,0.15447154471544716,0.10569105691056911,0.10569105691056911,0.00816326530612245,McCafferty,joy
