title,playlist,u_n_words,u_valence,u_dominance,u_arousal,u_negative,u_positive,u_joy,u_anger,u_surprise,u_disgust,u_fear,u_sadness,u_trust,u_anticipation,n_words,valence,dominance,arousal,negative,positive,joy,anger,surprise,disgust,fear,sadness,trust,anticipation,s_n_words,s_valence,s_dominance,s_arousal,s_negative,s_positive,s_joy,s_anger,s_surprise,s_disgust,s_fear,s_sadness,s_trust,s_anticipation,joy_ratio,anger_ratio,surprise_ratio,disgust_ratio,fear_ratio,sadness_ratio,trust_ratio,anticipation_ratio,sentiment,artist,wheel_playlist,q1,q2,q3,q4
1 On 3 (feat. Rvssian),beast_mode,402,0.5403833333333334,0.5397333333333333,0.5353499999999999,19,9,1.925,7.721999999999999,2.844,1.992,11.237,4.206,2.6239999999999997,0.562,133,0.5403833333333333,0.5397333333333336,0.53535,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,89,0.5332105263157895,0.5378771929824564,0.540438596491228,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,0.08570799059929494,0.2500734430082256,0.05221797884841362,0.08607520564042302,0.28429788484136304,0.11427732079905992,0.08607520564042302,0.04127497062279671,-0.12030075187969924,Fivio Foreign,fear,0.13792596944770857,0.33614864864864863,0.3985752056404229,0.12735017626321973
1 On 3 (feat. Rvssian),beast_mode,402,0.5403833333333334,0.5397333333333333,0.5353499999999999,19,9,1.925,7.721999999999999,2.844,1.992,11.237,4.206,2.6239999999999997,0.562,133,0.5403833333333333,0.5397333333333336,0.53535,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,89,0.5332105263157895,0.5378771929824564,0.540438596491228,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,0.08570799059929494,0.2500734430082256,0.05221797884841362,0.08607520564042302,0.28429788484136304,0.11427732079905992,0.08607520564042302,0.04127497062279671,-0.12030075187969924,Fivio Foreign,anger,0.13792596944770857,0.33614864864864863,0.3985752056404229,0.12735017626321973
1 On 3 (feat. Rvssian),beast_mode,402,0.5403833333333334,0.5397333333333333,0.5353499999999999,19,9,1.925,7.721999999999999,2.844,1.992,11.237,4.206,2.6239999999999997,0.562,133,0.5403833333333333,0.5397333333333336,0.53535,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,89,0.5332105263157895,0.5378771929824564,0.540438596491228,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,0.08570799059929494,0.2500734430082256,0.05221797884841362,0.08607520564042302,0.28429788484136304,0.11427732079905992,0.08607520564042302,0.04127497062279671,-0.12030075187969924,Rvssian,fear,0.13792596944770857,0.33614864864864863,0.3985752056404229,0.12735017626321973
1 On 3 (feat. Rvssian),beast_mode,402,0.5403833333333334,0.5397333333333333,0.5353499999999999,19,9,1.925,7.721999999999999,2.844,1.992,11.237,4.206,2.6239999999999997,0.562,133,0.5403833333333333,0.5397333333333336,0.53535,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,89,0.5332105263157895,0.5378771929824564,0.540438596491228,10,6,1.167,3.4050000000000002,0.711,1.172,3.8709999999999996,1.556,1.172,0.562,0.08570799059929494,0.2500734430082256,0.05221797884841362,0.08607520564042302,0.28429788484136304,0.11427732079905992,0.08607520564042302,0.04127497062279671,-0.12030075187969924,Rvssian,anger,0.13792596944770857,0.33614864864864863,0.3985752056404229,0.12735017626321973
"1 step forward, 3 steps back",sad_hour,280,0.6069777777777778,0.5008888888888888,0.4798888888888888,10,15,8.324000000000002,4.688,0.0,3.7479999999999993,3.2800000000000002,4.389,6.720000000000001,1.124,102,0.6069777777777777,0.5008888888888888,0.4798888888888889,5,5,3.9530000000000003,1.516,0.0,1.1789999999999998,1.2810000000000001,1.9210000000000003,2.5629999999999997,1.124,64,0.6023414634146341,0.4938780487804878,0.4838536585365854,5,5,3.9530000000000003,1.516,0.0,1.1789999999999998,1.2810000000000001,1.9210000000000003,2.5629999999999997,1.124,0.2920144788357834,0.11198936248799586,0.0,0.08709462953387012,0.09462953387013372,0.14190736499963066,0.18933293935140721,0.083031690921179,0.0,Olivia Rodrigo,joy,0.2920144788357834,0.199083992021866,0.23653689886976437,0.27236463027258623
16 Shots,bbe,572,0.5400303030303031,0.47122727272727266,0.4570757575757577,51,34,7.0539999999999985,19.583000000000006,13.080000000000004,2.141,13.431,10.21,20.026999999999994,7.293999999999999,157,0.5400303030303031,0.4712272727272726,0.45707575757575775,10,6,0.834,3.4299999999999997,1.5629999999999997,0.875,1.671,0.9850000000000001,2.773,2.0780000000000003,118,0.5341967213114757,0.46580327868852456,0.4620163934426231,10,5,0.834,3.4299999999999997,1.5629999999999997,0.875,1.671,0.9850000000000001,2.5,2.0780000000000003,0.05869519318741642,0.24139629812090926,0.1100007037792948,0.06158068829615033,0.1176015201632768,0.06932226053909495,0.19515799845168558,0.1462453374621719,-0.10191082802547771,Stefflon Don,surprise,0.16869589696671122,0.3029769864170596,0.18692378070237176,0.34140333591385746
16 Shots,bbe,572,0.5400303030303031,0.47122727272727266,0.4570757575757577,51,34,7.0539999999999985,19.583000000000006,13.080000000000004,2.141,13.431,10.21,20.026999999999994,7.293999999999999,157,0.5400303030303031,0.4712272727272726,0.45707575757575775,10,6,0.834,3.4299999999999997,1.5629999999999997,0.875,1.671,0.9850000000000001,2.773,2.0780000000000003,118,0.5341967213114757,0.46580327868852456,0.4620163934426231,10,5,0.834,3.4299999999999997,1.5629999999999997,0.875,1.671,0.9850000000000001,2.5,2.0780000000000003,0.05869519318741642,0.24139629812090926,0.1100007037792948,0.06158068829615033,0.1176015201632768,0.06932226053909495,0.19515799845168558,0.1462453374621719,-0.10191082802547771,Stefflon Don,anger,0.16869589696671122,0.3029769864170596,0.18692378070237176,0.34140333591385746
18,sad_hour,282,0.5921935483870969,0.47351612903225804,0.4250322580645162,4,4,9.972999999999999,0.828,0.624,0.695,0.484,2.1910000000000003,1.516,1.422,84,0.5921935483870967,0.4735161290322581,0.42503225806451617,2,2,2.513,0.828,0.312,0.695,0.484,1.355,0.758,0.711,43,0.599576923076923,0.48357692307692307,0.4353461538461539,2,2,2.513,0.828,0.312,0.695,0.484,1.074,0.758,0.711,0.328239289446186,0.10815047021943573,0.04075235109717869,0.09077847439916405,0.06321839080459771,0.1769853709508882,0.09900731452455591,0.09286833855799373,0.0,Anson Seabra,joy,0.3689916405433647,0.19892894461859978,0.2402037617554859,0.19187565308254964
18,sad_hour,282,0.5921935483870969,0.47351612903225804,0.4250322580645162,4,4,9.972999999999999,0.828,0.624,0.695,0.484,2.1910000000000003,1.516,1.422,84,0.5921935483870967,0.4735161290322581,0.42503225806451617,2,2,2.513,0.828,0.312,0.695,0.484,1.355,0.758,0.711,43,0.599576923076923,0.48357692307692307,0.4353461538461539,2,2,2.513,0.828,0.312,0.695,0.484,1.074,0.758,0.711,0.328239289446186,0.10815047021943573,0.04075235109717869,0.09077847439916405,0.06321839080459771,0.1769853709508882,0.09900731452455591,0.09286833855799373,0.0,Anson Seabra,sadness,0.3689916405433647,0.19892894461859978,0.2402037617554859,0.19187565308254964
1985,villain_mode,372,0.6282777777777779,0.5549074074074075,0.44942592592592595,7,10,3.2520000000000002,1.813,1.078,1.64,0.938,0.0,4.422,2.102,123,0.6282777777777778,0.5549074074074074,0.449425925925926,6,7,2.7520000000000002,1.24,1.078,0.82,0.938,0.0,2.5,1.6640000000000001,78,0.6276041666666666,0.5638541666666667,0.4580000000000002,6,7,2.7520000000000002,1.24,1.078,0.82,0.938,0.0,2.5,1.6640000000000001,0.2503639010189229,0.11280931586608443,0.0980713245997089,0.07459970887918486,0.08533478893740902,0.0,0.22743813682678313,0.15138282387190688,0.032520325203252036,Bo Burnham,surprise,0.3484352256186318,0.1874090247452693,0.08533478893740902,0.37882096069869
